type,name,location,description,tags,image_url
hotel,Aahaldanda,,,,"datasets/project_imgfold/project_images\Aahaldanda\download (1).jpeg,datasets/project_imgfold/project_images\Aahaldanda\download (2).jpeg,datasets/project_imgfold/project_images\Aahaldanda\download (3).jpeg,datasets/project_imgfold/project_images\Aahaldanda\download (5).jpeg,datasets/project_imgfold/project_images\Aahaldanda\download.jpeg"
hotel,Aalapot,,,,"datasets/project_imgfold/project_images\Aalapot\download (1).jpeg,datasets/project_imgfold/project_images\Aalapot\download (2).jpeg,datasets/project_imgfold/project_images\Aalapot\download (3).jpeg,datasets/project_imgfold/project_images\Aalapot\download (4).jpeg,datasets/project_imgfold/project_images\Aalapot\download.jpeg"
hotel,Aansi Khola Motorable Bridge,,,,"datasets/project_imgfold/project_images\Aansi Khola Motorable Bridge\download (1).jpeg,datasets/project_imgfold/project_images\Aansi Khola Motorable Bridge\download (2).jpeg,datasets/project_imgfold/project_images\Aansi Khola Motorable Bridge\download (3).jpeg,datasets/project_imgfold/project_images\Aansi Khola Motorable Bridge\download (4).jpeg,datasets/project_imgfold/project_images\Aansi Khola Motorable Bridge\download.jpeg"
hotel,Aashapur Pakadia,,,,"datasets/project_imgfold/project_images\Aashapur Pakadia\download (1).jpeg,datasets/project_imgfold/project_images\Aashapur Pakadia\download (2).jpeg,datasets/project_imgfold/project_images\Aashapur Pakadia\download (3).jpeg,datasets/project_imgfold/project_images\Aashapur Pakadia\download (4).jpeg,datasets/project_imgfold/project_images\Aashapur Pakadia\download.jpeg"
hotel,Adamtar,,,,"datasets/project_imgfold/project_images\Adamtar\download (1).jpeg,datasets/project_imgfold/project_images\Adamtar\download (2).jpeg,datasets/project_imgfold/project_images\Adamtar\download (3).jpeg,datasets/project_imgfold/project_images\Adamtar\download (4).jpeg,datasets/project_imgfold/project_images\Adamtar\download.jpeg"
hotel,Agara,,,,"datasets/project_imgfold/project_images\Agara\download (5).jpeg,datasets/project_imgfold/project_images\Agara\download.jpeg,datasets/project_imgfold/project_images\Agara\images (1).jpeg,datasets/project_imgfold/project_images\Agara\images (2).jpeg,datasets/project_imgfold/project_images\Agara\images.jpeg"
hotel,Amargadhi,,,,"datasets/project_imgfold/project_images\Amargadhi\download (1).jpeg,datasets/project_imgfold/project_images\Amargadhi\download (2).jpeg,datasets/project_imgfold/project_images\Amargadhi\download (3).jpeg,datasets/project_imgfold/project_images\Amargadhi\download (4).jpeg,datasets/project_imgfold/project_images\Amargadhi\download.jpeg"
hotel,Amarpatti,,,,"datasets/project_imgfold/project_images\Amarpatti\download (1).jpeg,datasets/project_imgfold/project_images\Amarpatti\download (2).jpeg,datasets/project_imgfold/project_images\Amarpatti\download (4).jpeg,datasets/project_imgfold/project_images\Amarpatti\download.jpeg,datasets/project_imgfold/project_images\Amarpatti\images.jpeg"
hotel,Ambung,,,,"datasets/project_imgfold/project_images\Ambung\download (1).jpeg,datasets/project_imgfold/project_images\Ambung\download (2).jpeg,datasets/project_imgfold/project_images\Ambung\download (3).jpeg,datasets/project_imgfold/project_images\Ambung\download (4).jpeg,datasets/project_imgfold/project_images\Ambung\download.jpeg"
hotel,Amppipal,,,,"datasets/project_imgfold/project_images\Amppipal\download (1).jpeg,datasets/project_imgfold/project_images\Amppipal\download (2).jpeg,datasets/project_imgfold/project_images\Amppipal\download (3).jpeg,datasets/project_imgfold/project_images\Amppipal\download (5).jpeg,datasets/project_imgfold/project_images\Amppipal\download.jpeg"
